In the year 0, Diles was founded, 400 souls strong.
In the year 0, Toloumou was founded, 400 souls strong.
In the year 0, Kunaetho was founded, 400 souls strong.
In the year 0, Naethaehun was founded, 400 souls strong.
In the year 0, Hikiavur was founded, 400 souls strong.
In the year 0, Lumemia was founded, 400 souls strong.
In the year 0, Thiathiariath was founded, 400 souls strong.
In the year 0, Nuhem was founded, 400 souls strong.
In the year 0, Nenatul was founded, 400 souls strong.
In the year 0, Vurun was founded, 400 souls strong.
In the year 0, Siatol was founded, 400 souls strong.
In the year 0, Mothian was founded, 400 souls strong.
In 30, famine gripped Mothian: 46 of every hundred measures of need went unmet.
In 40, the first artisans set up their workshops at Diles, 22 masters and hands.
In 40, the first artisans set up their workshops at Toloumou, 22 masters and hands.
In 40, the first artisans set up their workshops at Kunaetho, 22 masters and hands.
In 40, the first artisans set up their workshops at Naethaehun, 22 masters and hands.
In 40, the first artisans set up their workshops at Hikiavur, 22 masters and hands.
In 40, the first artisans set up their workshops at Lumemia, 21 masters and hands.
In 40, the first artisans set up their workshops at Thiathiariath, 22 masters and hands.
In 40, the first artisans set up their workshops at Nuhem, 9 masters and hands.
In 40, the first artisans set up their workshops at Nenatul, 22 masters and hands.
In 40, the first artisans set up their workshops at Vurun, 22 masters and hands.
In 40, the first artisans set up their workshops at Siatol, 22 masters and hands.
In 60, the famine at Mothian lifted after 30 years; 439 were dead of it.
In 90, the first artisans set up their workshops at Mothian, 1 masters and hands.
In 450, famine gripped Mothian: 18 of every hundred measures of need went unmet.
In 470, the famine at Mothian lifted after 20 years; 145 were dead of it.
In 940, 7 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 1050, famine gripped Nuhem: 32 of every hundred measures of need went unmet.
In 1070, 8 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1070, the famine at Nuhem lifted after 20 years; 753 were dead of it.
In 1230, 5 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 1260, 6 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1350, famine gripped Mothian: 28 of every hundred measures of need went unmet.
In 1370, the famine at Mothian lifted after 20 years; 147 were dead of it.
In 1420, 5 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1530, 4 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 1650, 4 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 1670, famine gripped Lumemia: 24 of every hundred measures of need went unmet.
In 1700, the famine at Lumemia lifted after 30 years; 1577 were dead of it.
In 1710, 4 souls quit Naethaehun in a single season - 4 of every hundred who lived there.
In 1730, 5 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 1780, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1790, 5 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 1830, 8 souls quit Naethaehun in a single season - 9 of every hundred who lived there.
In 1870, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1880, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 1910, 5 souls quit Naethaehun in a single season - 6 of every hundred who lived there.
In 2010, 4 souls quit Naethaehun in a single season - 5 of every hundred who lived there.
In 2180, 6 souls quit Naethaehun in a single season - 7 of every hundred who lived there.
In 2190, 5 souls quit Naethaehun in a single season - 7 of every hundred who lived there.
In 2210, 6 souls quit Naethaehun in a single season - 8 of every hundred who lived there.
In 2230, famine gripped Mothian: 30 of every hundred measures of need went unmet.
In 2250, the famine at Mothian lifted after 20 years; 160 were dead of it.
