# hazard=0.01 turns=300 dev=False seeds=1-20
seed,onsets,settlementYears,onsetsPerSettlementCentury,famine,severe,stress,normal,fReasonNone,fDisaster,fAbandon,fBoth,starvTotal,starvMaxFamineTurns,starvMaxSevereTurns,starvMaxStressTurns,starvMaxNormalTurns,turnsMaxFamine,turnsMaxSevere,turnsMaxStress,turnsMaxNormal,v2Violations,finalPop
1,314,33000,0.951515152,78,0,5,3517,0,78,0,0,10181,10181,0,0,0,66,0,5,229,0,12454
2,306,33000,0.927272727,64,0,20,3516,0,64,0,0,9040,9040,0,0,0,51,0,13,236,0,18010
3,300,33000,0.909090909,85,0,14,3501,0,85,0,0,10210,10210,0,0,0,68,0,8,224,0,7606
4,314,33000,0.951515152,78,0,6,3516,0,78,0,0,9800,9800,0,0,0,65,0,5,230,0,8371
5,327,33000,0.990909091,73,0,10,3517,0,73,0,0,10527,10527,0,0,0,63,0,5,232,0,10464
6,297,33000,0.9,84,0,8,3508,0,84,0,0,11930,11930,0,0,0,64,0,5,231,0,9375
7,281,33000,0.851515152,70,0,16,3514,0,70,0,0,11179,11179,0,0,0,59,0,9,232,0,13219
8,313,33000,0.948484848,64,0,15,3521,0,64,0,0,9333,9333,0,0,0,51,0,12,237,0,13183
9,308,33000,0.933333333,76,0,9,3515,0,76,0,0,7013,7013,0,0,0,62,0,6,232,0,7448
10,307,33000,0.93030303,78,0,11,3511,0,78,0,0,7930,7930,0,0,0,64,0,4,232,0,10576
11,316,33000,0.957575758,80,1,18,3501,0,80,0,0,8151,8151,0,0,0,68,0,10,222,0,9123
12,317,33000,0.960606061,67,0,9,3524,0,67,0,0,8642,8642,0,0,0,55,0,4,241,0,11940
13,322,33000,0.975757576,97,0,13,3490,0,97,0,0,11883,11883,0,0,0,75,0,11,214,0,7127
14,317,33000,0.960606061,78,0,16,3506,0,78,0,0,10573,10573,0,0,0,63,0,8,229,0,9688
15,307,33000,0.93030303,78,0,13,3509,0,78,0,0,9238,9238,0,0,0,60,0,6,234,0,8992
16,310,33000,0.939393939,79,1,23,3497,0,79,0,0,9062,9039,23,0,0,68,1,9,222,0,10637
17,337,33000,1.02121212,86,0,13,3501,0,86,0,0,9224,9224,0,0,0,71,0,12,217,0,9479
18,309,33000,0.936363636,87,0,12,3501,0,87,0,0,10067,10067,0,0,0,70,0,6,224,0,10268
19,298,33000,0.903030303,63,0,19,3518,0,63,0,0,8532,8532,0,0,0,54,0,14,232,0,13489
20,311,33000,0.942424242,75,0,13,3512,0,75,0,0,12404,12404,0,0,0,57,0,6,237,0,10136
# TOTAL onsets=6211 settlementYears=660000 perSettlementCentury=0.941060606 famine=1540 severe=2 stress=263 famineReasonNone=0 v2Violations=0
