# hazard=0 turns=300 dev=False seeds=1-20
seed,onsets,settlementYears,onsetsPerSettlementCentury,famine,severe,stress,normal,fReasonNone,fDisaster,fAbandon,fBoth,starvTotal,starvMaxFamineTurns,starvMaxSevereTurns,starvMaxStressTurns,starvMaxNormalTurns,turnsMaxFamine,turnsMaxSevere,turnsMaxStress,turnsMaxNormal,v2Violations,finalPop
1,0,33000,0,0,0,9,3591,0,0,0,0,0,0,0,0,0,0,0,9,291,0,43575
2,0,33000,0,0,0,25,3575,0,0,0,0,0,0,0,0,0,0,0,22,278,0,43648
3,0,33000,0,0,0,19,3581,0,0,0,0,0,0,0,0,0,0,0,18,282,0,34995
4,0,33000,0,0,0,13,3587,0,0,0,0,0,0,0,0,0,0,0,12,288,0,36394
5,0,33000,0,0,0,15,3585,0,0,0,0,0,0,0,0,0,0,0,15,285,0,35697
6,0,33000,0,0,0,20,3580,0,0,0,0,0,0,0,0,0,0,0,19,281,0,42151
7,0,33000,0,0,0,13,3587,0,0,0,0,0,0,0,0,0,0,0,12,288,0,42068
8,0,33000,0,0,0,17,3583,0,0,0,0,0,0,0,0,0,0,0,16,284,0,40782
9,0,33000,0,0,0,13,3587,0,0,0,0,0,0,0,0,0,0,0,12,288,0,27198
10,0,33000,0,0,0,18,3582,0,0,0,0,0,0,0,0,0,0,0,16,284,0,35862
11,0,33000,0,0,0,22,3578,0,0,0,0,0,0,0,0,0,0,0,20,280,0,33912
12,0,33000,0,0,0,18,3582,0,0,0,0,0,0,0,0,0,0,0,17,283,0,39390
13,0,33000,0,0,0,23,3577,0,0,0,0,0,0,0,0,0,0,0,23,277,0,42953
14,0,33000,0,0,0,16,3584,0,0,0,0,0,0,0,0,0,0,0,13,287,0,38100
15,0,33000,0,0,0,13,3587,0,0,0,0,0,0,0,0,0,0,0,10,290,0,33198
16,0,33000,0,0,1,23,3576,0,0,0,0,11,0,11,0,0,0,1,17,282,0,40241
17,0,33000,0,0,0,19,3581,0,0,0,0,0,0,0,0,0,0,0,19,281,0,37246
18,0,33000,0,0,0,22,3578,0,0,0,0,0,0,0,0,0,0,0,20,280,0,37994
19,0,33000,0,0,0,18,3582,0,0,0,0,0,0,0,0,0,0,0,16,284,0,35504
20,0,33000,0,0,0,16,3584,0,0,0,0,0,0,0,0,0,0,0,16,284,0,40057
# TOTAL onsets=0 settlementYears=660000 perSettlementCentury=0 famine=0 severe=1 stress=352 famineReasonNone=0 v2Violations=0
